date,close
2023-01-02,150.0
2023-01-03,152.5
2023-01-04,153.0
2023-01-05,151.0
2023-01-06,150.5
2023-01-09,152.0
2023-01-10,154.5
2023-01-11,155.0
2023-01-12,156.5
2023-01-13,158.0
2023-01-16,157.5
2023-01-17,159.0
2023-01-18,160.5
2023-01-19,161.0
2023-01-20,160.0
2023-01-23,161.5
2023-01-24,163.0
2023-01-25,164.5
2023-01-26,165.0
2023-01-27,166.5
2023-01-30,166.0
2023-01-31,167.5
2023-02-01,168.0
2023-02-02,169.5
2023-02-03,170.0
2023-02-06,169.0
2023-02-07,170.5
2023-02-08,171.0
2023-02-09,172.5
2023-02-10,173.0
